V1 V2 V3 V5 V6 V11 V12 V14 V15
402 cell1_MACS_peak_12065 8 9 8 10 21 19 25 20
403 cell1_MACS_peak_12069 6 6 5 7 16 12 10 11
404 cell1_MACS_peak_1208 18 21 17 20 11 10 8 4
405 cell1_MACS_peak_12080 9 8 10 8 6 13 9 10
406 cell1_MACS_peak_12085 10 11 12 11 15 10 14 16
407 cell1_MACS_peak_12088 6 4 11 9 24 22 25 28
408 cell1_MACS_peak_12095 8 9 8 9 7 13 9 12
409 cell1_MACS_peak_12099 17 16 15 16 14 12 15 16
410 cell1_MACS_peak_12100 13 10 12 11 9 8 8 11
411 cell1_MACS_peak_12101 7 5 5 11 13 13 13 14
412 cell1_MACS_peak_12103 9 7 8 8 10 13 9 10
413 cell1_MACS_peak_12107 7 8 8 6 13 12 13 17
414 cell1_MACS_peak_12109 9 9 13 10 14 6 12 11
415 cell1_MACS_peak_12118 6 6 9 7 9 6 6 7
416 cell1_MACS_peak_12124 11 12 11 13 12 11 12 11
417 cell1_MACS_peak_12128 7 6 8 5 9 6 11 9
418 cell1_MACS_peak_12133 7 6 6 6 12 10 10 8
419 cell1_MACS_peak_12148 9 10 11 7 16 15 15 13
420 cell1_MACS_peak_12149 9 14 10 10 8 13 17 14
421 cell1_MACS_peak_12157 11 10 13 14 7 4 8 6
422 cell1_MACS_peak_1216 18 18 21 16 16 19 23 18
423 cell1_MACS_peak_12167 12 14 10 12 6 11 8 8
424 cell1_MACS_peak_12169 14 13 16 9 31 34 35 32
425 cell1_MACS_peak_12170 6 8 6 3 11 8 6 13
426 cell1_MACS_peak_12171 11 5 14 10 15 8 14 14
427 cell1_MACS_peak_12175 11 9 12 8 12 10 11 11
428 cell1_MACS_peak_12182 11 10 7 12 14 11 16 13
429 cell1_MACS_peak_12183 14 17 11 17 23 24 22 21
430 cell1_MACS_peak_12202 2 1 2 1 2 0 1 1
431 cell1_MACS_peak_12206 9 11 8 11 13 13 15 13
432 cell1_MACS_peak_12210 12 11 14 12 13 12 16 15
433 cell1_MACS_peak_12212 11 14 15 12 14 19 16 16
